date,value,description,entryType,category,tags,metadata_json
2016-01-05,47500.00,"Faturamento PME Mensal 1/2016",revenue,"Receita de Vendas","ncg,welford,rolling_margin","{""massa_salarial_12"":80000,""receita_bruta_12"":570000}"
2016-01-08,6000.00,"Folha Pro-Labore Administrador 1/2016",expense,"Retiradas","fator_r,irpf_2026,simples_nacional","{""massa_salarial_12"":80000,""receita_bruta_12"":570000}"
2016-01-12,3800.00,"Financiamento Imóvel SAC Parcela 1/120",expense,"Imóveis","sistema_sac,cap_rate,ross_heidecke","{""property_value"":350000,""monthly_rent"":2100,""installment_no"":1,""interest_paid"":1800}"
2016-01-18,2500.00,"Aporte Fundo Offshore Swissquote 1/2016",deposit,"Investimentos Externos","fbar,fatca,sankey,monte_carlo","{""jurisdicao_pais"":""Suiça"",""moeda"":""USD""}"
2016-01-14,245.00,"Abastecimento Posto Shell CAR01 (12850 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":12850}"
2016-01-27,261.00,"Abastecimento Posto Ipiranga CAR01 (13750 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":13750}"
2016-02-05,50000.00,"Faturamento PME Mensal 2/2016",revenue,"Receita de Vendas","ncg,welford,rolling_margin","{""massa_salarial_12"":80000,""receita_bruta_12"":600000}"
2016-02-08,6000.00,"Folha Pro-Labore Administrador 2/2016",expense,"Retiradas","fator_r,irpf_2026,simples_nacional","{""massa_salarial_12"":80000,""receita_bruta_12"":600000}"
2016-02-12,3785.00,"Financiamento Imóvel SAC Parcela 2/120",expense,"Imóveis","sistema_sac,cap_rate,ross_heidecke","{""property_value"":350000,""monthly_rent"":2100,""installment_no"":2,""interest_paid"":1785}"
2016-02-18,2500.00,"Aporte Fundo Offshore Swissquote 2/2016",deposit,"Investimentos Externos","fbar,fatca,sankey,monte_carlo","{""jurisdicao_pais"":""Suiça"",""moeda"":""USD""}"
2016-02-14,250.00,"Abastecimento Posto Shell CAR01 (14600 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":14600}"
2016-02-27,267.00,"Abastecimento Posto Ipiranga CAR01 (15500 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":15500}"
2016-03-05,45000.00,"Faturamento PME Mensal 3/2016",revenue,"Receita de Vendas","ncg,welford,rolling_margin","{""massa_salarial_12"":80000,""receita_bruta_12"":540000}"
2016-03-08,6000.00,"Folha Pro-Labore Administrador 3/2016",expense,"Retiradas","fator_r,irpf_2026,simples_nacional","{""massa_salarial_12"":80000,""receita_bruta_12"":540000}"
2016-03-12,3770.00,"Financiamento Imóvel SAC Parcela 3/120",expense,"Imóveis","sistema_sac,cap_rate,ross_heidecke","{""property_value"":350000,""monthly_rent"":2100,""installment_no"":3,""interest_paid"":1770}"
