## COIN ASSISTANT BACKUP v2 ##
name,Simulação 5 Anos (Teste de Estresse)
description,Dados Históricos de 2021 a 2025
goal_daily_2021,70
goal_weekly_2021,490
goal_annual_2021,25000
goal_daily_2022,75
goal_weekly_2022,525
goal_annual_2022,28000
goal_daily_2023,80
goal_weekly_2023,560
goal_annual_2023,31000
goal_daily_2024,85
goal_weekly_2024,595
goal_annual_2024,34000
goal_daily_2025,90
goal_weekly_2025,630
goal_annual_2025,37000
## ROWS ##
date,value,description,entryType,monthlyValue,monthCount,period_start,period_end
2021-01-01,85000,Financiamento Veículo (5 Anos),expense,1416.66,60,2021-01-01,2025-12-31
2021-01-01,5259,IPVA 2021,expense,438.25,12,2021-01-01,2021-12-31
2021-01-01,8217,Seguro 2021,expense,684.75,12,2021-01-01,2021-12-31
2021-01-13,10,Férias/Descanso 2021,waiver,,,,
2021-01-01,271.22,PIX/Cartão Receita Diária,revenue,,,,
2021-01-02,339.34,PIX/Cartão Receita Diária,revenue,,,,
2021-01-05,462.96,PIX/Cartão Receita Diária,revenue,,,,
2021-01-06,200.87,PIX/Cartão Receita Diária,revenue,,,,
2021-01-07,451.12,PIX/Cartão Receita Diária,revenue,,,,
2021-01-09,470.51,PIX/Cartão Receita Diária,revenue,,,,
2021-01-11,274.26,PIX/Cartão Receita Diária,revenue,,,,
2021-01-14,153.51,PIX/Cartão Receita Diária,revenue,,,,
2021-01-15,439.62,PIX/Cartão Receita Diária,revenue,,,,
2021-01-19,470.41,PIX/Cartão Receita Diária,revenue,,,,
2021-01-22,307.52,PIX/Cartão Receita Diária,revenue,,,,
2021-01-25,185.12,PIX/Cartão Receita Diária,revenue,,,,
2021-01-26,185.23,PIX/Cartão Receita Diária,revenue,,,,
2021-01-27,294.18,PIX/Cartão Receita Diária,revenue,,,,
2021-01-28,360.36,PIX/Cartão Receita Diária,revenue,,,,
2021-01-29,238.91,PIX/Cartão Receita Diária,revenue,,,,
2021-01-30,294.96,PIX/Cartão Receita Diária,revenue,,,,
2021-01-31,433.17,PIX/Cartão Receita Diária,revenue,,,,
2021-01-27,997.69,Aporte Investimento 1/2021,deposit,,,,
2021-02-01,274.86,PIX/Cartão Receita Diária,revenue,,,,
2021-02-02,376.3,PIX/Cartão Receita Diária,revenue,,,,
2021-02-03,459.4,PIX/Cartão Receita Diária,revenue,,,,
2021-02-06,267.06,PIX/Cartão Receita Diária,revenue,,,,
2021-02-09,347.97,PIX/Cartão Receita Diária,revenue,,,,
2021-02-10,347.72,PIX/Cartão Receita Diária,revenue,,,,
2021-02-11,240.6,PIX/Cartão Receita Diária,revenue,,,,
2021-02-14,334.15,PIX/Cartão Receita Diária,revenue,,,,
2021-02-15,256.13,PIX/Cartão Receita Diária,revenue,,,,
2021-02-17,413.47,PIX/Cartão Receita Diária,revenue,,,,
2021-02-18,201.89,PIX/Cartão Receita Diária,revenue,,,,
2021-02-19,176.63,PIX/Cartão Receita Diária,revenue,,,,
2021-02-20,315.15,PIX/Cartão Receita Diária,revenue,,,,
2021-02-21,289.35,PIX/Cartão Receita Diária,revenue,,,,
2021-02-22,209.38,PIX/Cartão Receita Diária,revenue,,,,
2021-02-23,398.38,PIX/Cartão Receita Diária,revenue,,,,
2021-02-25,421.51,PIX/Cartão Receita Diária,revenue,,,,
2021-02-26,154.45,PIX/Cartão Receita Diária,revenue,,,,
2021-02-27,281.85,PIX/Cartão Receita Diária,revenue,,,,
2021-02-28,395.64,PIX/Cartão Receita Diária,revenue,,,,
2021-02-28,1054.33,Aporte Investimento 2/2021,deposit,,,,
2021-03-01,370.88,PIX/Cartão Receita Diária,revenue,,,,
2021-03-02,431.17,PIX/Cartão Receita Diária,revenue,,,,
2021-03-05,459.04,PIX/Cartão Receita Diária,revenue,,,,
2021-03-06,429.29,PIX/Cartão Receita Diária,revenue,,,,
2021-03-08,260.44,PIX/Cartão Receita Diária,revenue,,,,
2021-03-09,407.25,PIX/Cartão Receita Diária,revenue,,,,
2021-03-10,319.44,PIX/Cartão Receita Diária,revenue,,,,
